country,gdp_per_capita ($),HDI for year,suicides/100k pop,population
Antigua and Barbuda,14093,0.7829999999999999,0.0,90837
Argentina,13400,0.836,111.35,39276555
Armenia,4142,0.733,37.00999999999999,2803029
Australia,66809,0.935,149.07,21927587
Austria,54278,0.885,209.81999999999996,8141165
Bahrain,27503,0.8240000000000001,6.5200000000000005,1213966
Belarus,8849,0.7979999999999999,252.90999999999997,8906977
Belgium,50173,0.89,201.85000000000002,10578848
Belize,5448,0.715,90.95,312780
Bosnia and Herzegovina,5079,0.733,109.5,3654169
Brazil,12975,0.755,73.13000000000001,189285554
Bulgaria,8241,0.782,139.77,6883874
Chile,15883,0.8320000000000001,137.36999999999998,16406867
Colombia,8591,0.72,66.62,44021800
Costa Rica,11485,0.7659999999999999,70.85,4403674
Croatia,14299,0.818,222.04,4030452
Cuba,7459,0.769,184.62999999999997,10813411
Cyprus,29024,0.85,57.1,804818
Czech Republic,20859,0.87,175.28999999999994,9963127
Denmark,66114,0.9229999999999999,137.73,5339166
Ecuador,7116,0.732,66.02000000000001,14295145
El Salvador,3965,0.6659999999999999,101.84,5696329
Estonia,21117,0.861,258.90999999999997,1241852
Finland,52832,0.883,177.16000000000005,5159944
France,47318,0.888,179.56,60275954
Georgia,4757,0.754,74.48999999999998,3470600
Germany,50167,0.9159999999999999,153.03999999999996,77552369
Greece,22834,0.865,59.820000000000014,10380547
Grenada,9456,0.75,0.0,96393
Guatemala,4210,0.627,45.88,13947190
Hungary,14886,0.828,244.30999999999997,9412788
Iceland,56833,0.899,197.95999999999998,304472
Ireland,59634,0.9159999999999999,119.67999999999999,4328043
Israel,41869,0.894,71.26000000000002,7366252
Italy,37035,0.873,82.13000000000002,58100676
Japan,40328,0.8909999999999999,218.20999999999998,120274000
Kazakhstan,14351,0.7879999999999999,257.09,15428844
Kuwait,43774,0.816,15.86,3715284
Kyrgyzstan,1465,0.655,111.79000000000002,5096430
Latvia,16544,0.8190000000000001,248.81000000000003,1894041
Lithuania,17442,0.8390000000000001,401.2700000000001,2781577
Luxembourg,126352,0.892,147.88,524940
Malta,27634,0.8390000000000001,102.07999999999997,406525
Mauritius,11120,0.777,115.45,1151424
Mexico,11663,0.7559999999999999,68.37999999999998,112692589
Netherlands,55325,0.922,121.42,15899508
Nicaragua,2199,0.631,71.39999999999999,5402424
Norway,103443,0.9440000000000001,127.22999999999999,4827178
Oman,22328,0.7929999999999999,1.51,3631098
Panama,14181,0.78,55.98,3520213
Paraguay,5254,0.679,72.15,5877594
Poland,15119,0.843,178.3,36059630
Portugal,23091,0.83,153.88999999999996,9944433
Qatar,91587,0.85,18.989999999999995,2251682
Romania,10526,0.7929999999999999,131.02999999999997,18952235
Saint Lucia,9372,0.7290000000000001,91.56,165596
Saint Vincent and Grenadines,7203,0.72,80.78,100676
Serbia,6500,0.7709999999999999,216.78,6801810
Seychelles,16018,0.772,43.33,83845
Singapore,84442,0.912,131.78,3689370
Slovakia,19679,0.8440000000000001,132.82000000000002,5129686
Slovenia,25569,0.88,240.36999999999998,1951786
South Africa,7174,0.6659999999999999,15.079999999999998,48912129
Spain,31171,0.8759999999999999,104.35000000000002,44172771
Suriname,10530,0.7140000000000001,357.34,497701
Sweden,62956,0.907,149.04999999999998,9114524
Switzerland,90809,0.93,162.10000000000002,7809621
Thailand,6662,0.726,76.96000000000001,61139919
Turkey,13170,0.7609999999999999,30.830000000000005,70931420
Turkmenistan,9046,0.688,28.15,4811227
Ukraine,3299,0.747,250.5,40464165
United Kingdom,49906,0.907,83.92999999999999,60570482
United States,58531,0.915,171.33000000000004,297749735
Uruguay,18012,0.7929999999999999,248.63999999999993,3177645
Uzbekistan,2309,0.675,85.11999999999999,27313507
